"price","size_m2","rooms","city","type","condition","price2","size2","unit_price"
"125 M Ft ","74  m2","3 szoba ","Balatonalmádi ","tégla építésû","Új építésû",125,74,1.68918918918919
"44,9 M Ft ","86  m2","3 szoba ","Paks ","tégla építésû","Jó állapotú",44.9,86,0.522093023255814
"65,9 M Ft ","73  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",65.9,73,0.902739726027397
"87,5 M Ft ","65  m2","3 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",87.5,65,1.34615384615385
"169 M Ft ","80  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","Új építésû",169,80,2.1125
"118,8 M Ft ","85  m2","3 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",118.8,85,1.39764705882353
"27,9 M Ft ","62  m2","2 és fél szoba ","Kecskemét ","panellakás",NA,27.9,62,0.45
"58,9 M Ft ","67  m2","2 és 2 fél szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",58.9,67,0.87910447761194
"15,9 M Ft ","18  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû","Felújított állapotú",15.9,18,0.883333333333333
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"26,9 M Ft ","62  m2","3 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",26.9,62,0.433870967741935
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"80,5 M Ft ","67  m2","4 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",80.5,67,1.20149253731343
"129,3 M Ft ","125  m2","4 és fél szoba ","Budapest, IX. kerület ","tégla építésû","Új építésû",129.3,125,1.0344
"60 M Ft ","81  m2","3 szoba ","Miskolc ","tégla építésû","Új építésû",60,81,0.740740740740741
"78,9 M Ft ","74  m2","3 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",78.9,74,1.06621621621622
